route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCEDB-80194035-87213470,5,OCEDB081413F020021746,"81413",1,,
OCEDB-80194035-87213470,4632,OCEDB081415F020021748,"81415",1,,
OCEDB-80194035-87213470,3,OCEDB081407F020021740,"81407",1,,
OCEDB-80194035-87213470,3686,OCEDB081405F020021738,"81405",1,,
OCEDB-80194035-87213470,3,OCEDB081409F020021742,"81409",1,,
OCEDB-80194035-87213470,4,OCEDB081411F020021744,"81411",1,,
OCEDB-80194035-87213470,4632,OCEDB081417F020021750,"81417",1,,
OCEDB-80194035-87213470,4632,OCEDB081427F020021760,"81427",1,,
OCEDB-80194035-87213470,4632,OCEDB081425F020021758,"81425",1,,
OCEDB-80194035-87213470,4624,OCEDB081431F020021764,"81431",1,,
OCEDB-80194035-87213470,4624,OCEDB081429F020021762,"81429",1,,
OCEDB-80194035-87213470,3,OCEDB081423F020021756,"81423",1,,
OCEDB-80194035-87213470,3,OCEDB081419F020021752,"81419",1,,
OCEDB-80194035-87213470,4634,OCEDB081435F020021768,"81435",1,,
OCEDB-80194035-87213470,3,OCEDB081421F020021754,"81421",1,,
OCEDB-80194035-87213470,939,OCEDB081433F020021766,"81433",1,,
OCEDB-80194035-87213470,4631,OCEDB081428F020021761,"81428",0,,
OCEDB-80194035-87213470,5,OCEDB081430F020021763,"81430",0,,
OCEDB-80194035-87213470,4632,OCEDB081426F020021759,"81426",0,,
OCEDB-80194035-87213470,4624,OCEDB081432F020021765,"81432",0,,
OCEDB-80194035-87213470,3686,OCEDB081404F020021737,"81404",0,,
OCEDB-80194035-87213470,299,OCEDB081406F020021739,"81406",0,,
OCEDB-80194035-87213470,3686,OCEDB081400F020021733,"81400",0,,
OCEDB-80194035-87213470,3686,OCEDB081402F020021735,"81402",0,,
OCEDB-80194035-87213470,4632,OCEDB081414F020021747,"81414",0,,
OCEDB-80194035-87213470,3,OCEDB081420F020021753,"81420",0,,
OCEDB-80194035-87213470,4632,OCEDB081416F020021749,"81416",0,,
OCEDB-80194035-87213470,3,OCEDB081418F020021751,"81418",0,,
OCEDB-80194035-87213470,3,OCEDB081412F020021745,"81412",0,,
OCEDB-80194035-87213470,4632,OCEDB081424F020021757,"81424",0,,
OCEDB-80194035-87213470,4633,OCEDB081434F020021767,"81434",0,,
OCEDB-80194035-87213470,3,OCEDB081422F020021755,"81422",0,,
OCEDB-80194035-87213470,3,OCEDB081410F020021743,"81410",0,,
OCEDB-80194035-87213470,146,OCEDB081408F020021741,"81408",0,,
OCEDB-80194324-87213470,3686,OCEDB081401F020021734,"81401",1,,
OCEDB-80194324-87213470,3686,OCEDB081403F020021736,"81403",1,,
OCEDB-80194266-87213470,146,OCEDB081436F020021769,"81436",0,,
OCEDB-87212464-80191031,3686,OCEDB081445F020021775,"81445",1,,
OCEDB-87212464-80191031,4,OCEDB081463F020021791,"81463",1,,
OCEDB-87212464-80191031,4628,OCEDB081479F050051812,"81479",1,,
OCEDB-87212464-80191031,4625,OCEDB081465F040041794,"81465",1,,
OCEDB-87212464-80191031,3686,OCEDB081441F020021771,"81441",1,,
OCEDB-87212464-80191031,4625,OCEDB081485F020021818,"81485",1,,
OCEDB-87212464-80191031,4,OCEDB081461F030031789,"81461",1,,
OCEDB-87212464-80191031,4,OCEDB081459F030031787,"81459",1,,
OCEDB-87212464-80191031,4625,OCEDB081487F020021820,"81487",1,,
OCEDB-87212464-80191031,4624,OCEDB081483F020021816,"81483",1,,
OCEDB-87212464-80191031,5,OCEDB081489F020021821,"81489",1,,
OCEDB-87212464-80191031,3,OCEDB081477F020021809,"81477",1,,
OCEDB-87212464-80191031,3,OCEDB081451F020021781,"81451",1,,
OCEDB-87212464-80191031,4,OCEDB081455F020021784,"81455",1,,
OCEDB-87212464-80191031,3,OCEDB081471F020021801,"81471",1,,
OCEDB-87212464-80191031,4626,OCEDB081473F040041803,"81473",1,,
OCEDB-87212464-80191031,3686,OCEDB081443F020021773,"81443",1,,
OCEDB-87212464-80191031,3,OCEDB081475F020021806,"81475",1,,
OCEDB-87212464-80191031,3685,OCEDB081449F020021779,"81449",1,,
OCEDB-87212464-80191031,3686,OCEDB081447F020021777,"81447",1,,
OCEDB-87212464-80191031,3,OCEDB081469F020021798,"81469",1,,
OCEDB-87212464-80191031,4624,OCEDB081481F020021814,"81481",1,,
OCEDB-87212464-80191031,3,OCEDB081467F020021796,"81467",1,,
OCEDB-87212464-80191031,4626,OCEDB081476F040041808,"81476",0,,
OCEDB-87212464-80191031,3,OCEDB081474F020021805,"81474",0,,
OCEDB-87212464-80191031,3685,OCEDB081448F020021778,"81448",0,,
